14840KMKG MKG20050601000009306/01/05 00:00:35  5-MIN KMKG 010500Z 00000KT 10SM CLR 13/11 A3011 450 86  400 000/00 RMK AO2
14840KMKG MKG20050601000509306/01/05 00:05:31  5-MIN KMKG 010505Z 00000KT 10SM CLR 13/11 A3011 450 86  400 000/00 RMK AO2
14840KMKG MKG20050601001009306/01/05 00:10:31  5-MIN KMKG 010510Z 00000KT 10SM CLR 13/11 A3011 460 86  400 000/00 RMK AO2
14840KMKG MKG20050601001509306/01/05 00:15:31  5-MIN KMKG 010515Z 00000KT 10SM CLR 13/11 A3011 460 83  400 000/00 RMK AO2
14840KMKG MKG20050601002009306/01/05 00:20:31  5-MIN KMKG 010520Z 00000KT 10SM CLR 13/11 A3011 460 86  300 000/00 RMK AO2
14840KMKG MKG20050601002509306/01/05 00:25:31  5-MIN KMKG 010525Z 00000KT 10SM CLR 13/11 A3011 460 86  400 000/00 RMK AO2
14840KMKG MKG20050601003009306/01/05 00:30:31  5-MIN KMKG 010530Z 07003KT 10SM CLR 13/11 A3011 460 86  400 070/03 RMK AO2
14840KMKG MKG20050601003509306/01/05 00:35:31  5-MIN KMKG 010535Z 00000KT 10SM CLR 14/11 A3011 460 83  500 000/00 RMK AO2
14840KMKG MKG20050601004009306/01/05 00:40:31  5-MIN KMKG 010540Z VRB03KT 10SM CLR 14/11 A3011 460 83  500 VRB/03 RMK AO2
14840KMKG MKG20050601004509306/01/05 00:45:31  5-MIN KMKG 010545Z 00000KT 10SM CLR 14/11 A3010 460 83  500 000/00 RMK AO2
14840KMKG MKG20050601005012806/01/05 00:50:31  5-MIN KMKG 010550Z 11003KT 10SM CLR 14/11 A3010 460 80  500 110/03 RMK AO2 SLP193 T01390106 10217 20128 53013
14840KMKG MKG20050601005512806/01/05 00:55:31  5-MIN KMKG 010555Z 11003KT 10SM CLR 14/11 A3010 460 80  500 120/03 RMK AO2 SLP193 T01390106 10217 20128 58001
14840KMKG MKG20050601010009306/01/05 01:00:31  5-MIN KMKG 010600Z 09005KT 10SM CLR 13/10 A3010 460 80  400 090/05 RMK AO2
14840KMKG MKG20050601010509306/01/05 01:05:31  5-MIN KMKG 010605Z 09008KT 10SM CLR 14/10 A3010 460 74  500 090/08 RMK AO2
14840KMKG MKG20050601011009306/01/05 01:10:31  5-MIN KMKG 010610Z 09006KT 10SM CLR 15/10 A3010 460 72  600 090/06 RMK AO2
14840KMKG MKG20050601011509306/01/05 01:15:31  5-MIN KMKG 010615Z 08006KT 10SM CLR 15/09 A3010 460 69  600 090/06 RMK AO2
14840KMKG MKG20050601012009306/01/05 01:20:31  5-MIN KMKG 010620Z 08005KT 10SM CLR 14/10 A3010 460 74  500 080/05 RMK AO2
14840KMKG MKG20050601012509306/01/05 01:25:31  5-MIN KMKG 010625Z 08006KT 10SM CLR 14/09 A3010 460 72  500 090/06 RMK AO2
